timestamp;test-class;test-method;time;description;result
2021-08-25 11:28:37.314;acme.testing.administrator.configuration.AdministratorConfigurationListTest;ListRecent;7359;[1] recordIndex=0, spam=sex,duro,hard core,viagra,cialis,nigeria,has ganado,you've won,millon de dolares,million dollars, threshold=0.1;OK
;;Promedio ListRecent;7359;;
2021-08-25 11:30:54.533;acme.testing.administrator.configuration.AdministratorConfigurationUpdateTest;updatenegative;7519;[1] recordIndex=0, spam=aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa, threshold=1;OK
2021-08-25 11:31:02.969;acme.testing.administrator.configuration.AdministratorConfigurationUpdateTest;updatenegative;7838;[2] recordIndex=0, spam=aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa, threshold=0;OK
2021-08-25 11:31:11.573;acme.testing.administrator.configuration.AdministratorConfigurationUpdateTest;updatenegative;8059;[3] recordIndex=0, spam=null, threshold=-500;OK
2021-08-25 11:31:20.268;acme.testing.administrator.configuration.AdministratorConfigurationUpdateTest;updatenegative;8155;[4] recordIndex=0, spam=null, threshold=null;OK
2021-08-25 11:31:27.962;acme.testing.administrator.configuration.AdministratorConfigurationUpdateTest;updatenegative;7118;[5] recordIndex=0, spam=null, threshold=0;OK
2021-08-25 11:31:37.1;acme.testing.administrator.configuration.AdministratorConfigurationUpdateTest;updatenegative;8519;[6] recordIndex=0, spam=null, threshold=1.2;OK
2021-08-25 11:31:45.848;acme.testing.administrator.configuration.AdministratorConfigurationUpdateTest;updatenegative;8147;[7] recordIndex=0, spam=null, threshold=1;OK
2021-08-25 11:31:54.194;acme.testing.administrator.configuration.AdministratorConfigurationUpdateTest;updatenegative;7730;[8] recordIndex=0, spam=null, threshold=0.1;OK
2021-08-25 11:32:03.195;acme.testing.administrator.configuration.AdministratorConfigurationUpdateTest;updatenegative;8583;[9] recordIndex=0, spam=null, threshold=0.89;OK
2021-08-25 11:32:13.586;acme.testing.administrator.configuration.AdministratorConfigurationUpdateTest;updatenegative;9815;[10] recordIndex=0, spam=sex, threshold=null;OK
2021-08-25 11:32:23.47;acme.testing.administrator.configuration.AdministratorConfigurationUpdateTest;updatenegative;9283;[11] recordIndex=0, spam=sex, threshold=-0.1;OK
2021-08-25 11:32:32.466;acme.testing.administrator.configuration.AdministratorConfigurationUpdateTest;updatenegative;8286;[12] recordIndex=0, spam=sex, threshold=null;OK
2021-08-25 11:32:41.163;acme.testing.administrator.configuration.AdministratorConfigurationUpdateTest;updatenegative;8140;[13] recordIndex=0, spam=sex, threshold=1.2;OK
2021-08-25 11:32:49.909;acme.testing.administrator.configuration.AdministratorConfigurationUpdateTest;updatenegative;8194;[14] recordIndex=0, spam=sex, threshold=600;OK
2021-08-25 11:32:58.757;acme.testing.administrator.configuration.AdministratorConfigurationUpdateTest;updatenegative;8229;[15] recordIndex=0, spam=sex, threshold=-600;OK
;;Promedio updatenegative;8241;;
2021-08-25 11:28:59.639;acme.testing.administrator.configuration.AdministratorConfigurationUpdateTest;updatepositive;8953;[1] recordIndex=0, spam=s, threshold=0.0;OK
2021-08-25 11:29:11.273;acme.testing.administrator.configuration.AdministratorConfigurationUpdateTest;updatepositive;11070;[2] recordIndex=0, spam=s, threshold=1;OK
2021-08-25 11:29:19.384;acme.testing.administrator.configuration.AdministratorConfigurationUpdateTest;updatepositive;7770;[3] recordIndex=0, spam=sex, threshold=0.1;OK
2021-08-25 11:29:27.117;acme.testing.administrator.configuration.AdministratorConfigurationUpdateTest;updatepositive;7346;[4] recordIndex=0, spam=sex, threshold=0;OK
2021-08-25 11:29:35.561;acme.testing.administrator.configuration.AdministratorConfigurationUpdateTest;updatepositive;8062;[5] recordIndex=0, spam=sex, threshold=1;OK
2021-08-25 11:29:43.777;acme.testing.administrator.configuration.AdministratorConfigurationUpdateTest;updatepositive;7822;[6] recordIndex=0, spam=sex, threshold=0.5;OK
2021-08-25 11:29:53.297;acme.testing.administrator.configuration.AdministratorConfigurationUpdateTest;updatepositive;9054;[7] recordIndex=0, spam=million dollars, threshold=0;OK
2021-08-25 11:30:05.279;acme.testing.administrator.configuration.AdministratorConfigurationUpdateTest;updatepositive;11263;[8] recordIndex=0, spam=sex,million dollars,viagra, threshold=0.1;OK
2021-08-25 11:30:17.055;acme.testing.administrator.configuration.AdministratorConfigurationUpdateTest;updatepositive;11172;[9] recordIndex=0, spam=sex,hard core,nigeria, threshold=1;OK
2021-08-25 11:30:28.244;acme.testing.administrator.configuration.AdministratorConfigurationUpdateTest;updatepositive;10743;[10] recordIndex=0, spam=sex,million dollars,viagra,nigeria,cialis, threshold=0.5;OK
2021-08-25 11:30:37.18;acme.testing.administrator.configuration.AdministratorConfigurationUpdateTest;updatepositive;8395;[11] recordIndex=0, spam=aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa, threshold=1;OK
2021-08-25 11:30:46.466;acme.testing.administrator.configuration.AdministratorConfigurationUpdateTest;updatepositive;8665;[12] recordIndex=0, spam=aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa, threshold=0;OK
;;Promedio updatepositive;9192,916667;;
2021-08-25 11:33:24.493;acme.testing.administrator.dashboard.AdministratorShowDashboardTest;administratoDashboardPositive;4055;administratoDashboardPositive();OK
;;Promedio administratoDashboardPositive;4055;;
2021-08-25 11:33:15.305;acme.testing.administrator.dashboard.AdministratorShowDashboardTest;managerDashboardNegative;4269;[1] user=manager1, password=manager1;OK
2021-08-25 11:33:20.033;acme.testing.administrator.dashboard.AdministratorShowDashboardTest;managerDashboardNegative;4405;[2] user=employer1, password=employer1;OK
;;Promedio managerDashboardNegative;4337;;
2021-08-25 11:55:52.374;acme.testing.anonymous.shout.AnonymousShoutCreateTest;createNegative;1775;[1] recodIndex=0, author=null, text=null, info=null;OK
2021-08-25 11:55:54.439;acme.testing.anonymous.shout.AnonymousShoutCreateTest;createNegative;1785;[2] recodIndex=0, author=Paco, text=test author negativo, info=null;OK
2021-08-25 11:55:56.567;acme.testing.anonymous.shout.AnonymousShoutCreateTest;createNegative;1834;[3] recodIndex=0, author=Paco, text=test author negativo, info=http://www.sample-app.com;OK
2021-08-25 11:55:58.673;acme.testing.anonymous.shout.AnonymousShoutCreateTest;createNegative;1834;[4] recodIndex=0, author=Ana, text=test author negativo, info=null;OK
2021-08-25 11:56:00.818;acme.testing.anonymous.shout.AnonymousShoutCreateTest;createNegative;1835;[5] recodIndex=0, author=Ana, text=test author negativo, info=http://www.sample-app.com;OK
2021-08-25 11:56:02.952;acme.testing.anonymous.shout.AnonymousShoutCreateTest;createNegative;1853;[6] recodIndex=0, author=este es un autor con 25 lt, text=test author negativo, info=null;OK
2021-08-25 11:56:05.06;acme.testing.anonymous.shout.AnonymousShoutCreateTest;createNegative;1841;[7] recodIndex=0, author=este es un autor con 25 lt, text=test author negativo, info=http://www.sample-app.com;OK
2021-08-25 11:56:07.129;acme.testing.anonymous.shout.AnonymousShoutCreateTest;createNegative;1795;[8] recodIndex=0, author=null, text=test author negativo, info=null;OK
2021-08-25 11:56:09.225;acme.testing.anonymous.shout.AnonymousShoutCreateTest;createNegative;1819;[9] recodIndex=0, author=null, text=test author negativo, info=http://www.sample-app.com;OK
2021-08-25 11:56:11.405;acme.testing.anonymous.shout.AnonymousShoutCreateTest;createNegative;1897;[10] recodIndex=0, author=Test texto, text=null, info=http://www.sample-app.com;OK
2021-08-25 11:56:13.473;acme.testing.anonymous.shout.AnonymousShoutCreateTest;createNegative;1767;[11] recodIndex=0, author=Test texto, text=null, info=null;OK
2021-08-25 11:56:15.629;acme.testing.anonymous.shout.AnonymousShoutCreateTest;createNegative;1873;[12] recodIndex=0, author=Test texto, text=este es un texto con 101 caracteres mmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmm, info=null;OK
2021-08-25 11:56:17.743;acme.testing.anonymous.shout.AnonymousShoutCreateTest;createNegative;1831;[13] recodIndex=0, author=Test texto, text=este es un texto con 101 caracteres mmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmm, info=http://www.sample-app.com;OK
2021-08-25 11:56:19.896;acme.testing.anonymous.shout.AnonymousShoutCreateTest;createNegative;1869;[14] recodIndex=0, author=Test texto, text=este es un texto con 102 caracteres mmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmm, info=null;OK
