timestamp;test-class;test-method;time;description;result
2021-08-25 11:28:48.625;acme.testing.administrator.configuration.AdministratorConfigurationListTest;ListRecent;7197;[1] recordIndex=0, spam=sex,duro,hard core,viagra,cialis,nigeria,has ganado,you've won,millon de dolares,million dollars, threshold=0.1;OK
;;ListRecent Average;7197;;
2021-08-25 11:30:50.205;acme.testing.administrator.configuration.AdministratorConfigurationUpdateTest;updatenegative;6008;[1] recordIndex=0, spam=aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa, threshold=1;OK
2021-08-25 11:30:56.555;acme.testing.administrator.configuration.AdministratorConfigurationUpdateTest;updatenegative;6034;[2] recordIndex=0, spam=aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa, threshold=0;OK
2021-08-25 11:31:02.791;acme.testing.administrator.configuration.AdministratorConfigurationUpdateTest;updatenegative;5934;[3] recordIndex=0, spam=null, threshold=-500;OK
2021-08-25 11:31:09.089;acme.testing.administrator.configuration.AdministratorConfigurationUpdateTest;updatenegative;5999;[4] recordIndex=0, spam=null, threshold=null;OK
2021-08-25 11:31:15.335;acme.testing.administrator.configuration.AdministratorConfigurationUpdateTest;updatenegative;5946;[5] recordIndex=0, spam=null, threshold=0;OK
2021-08-25 11:31:21.709;acme.testing.administrator.configuration.AdministratorConfigurationUpdateTest;updatenegative;5982;[6] recordIndex=0, spam=null, threshold=1.2;OK
2021-08-25 11:31:27.982;acme.testing.administrator.configuration.AdministratorConfigurationUpdateTest;updatenegative;5973;[7] recordIndex=0, spam=null, threshold=1;OK
2021-08-25 11:31:34.294;acme.testing.administrator.configuration.AdministratorConfigurationUpdateTest;updatenegative;5950;[8] recordIndex=0, spam=null, threshold=0.1;OK
2021-08-25 11:31:40.507;acme.testing.administrator.configuration.AdministratorConfigurationUpdateTest;updatenegative;5899;[9] recordIndex=0, spam=null, threshold=0.89;OK
2021-08-25 11:31:46.699;acme.testing.administrator.configuration.AdministratorConfigurationUpdateTest;updatenegative;5913;[10] recordIndex=0, spam=sex, threshold=null;OK
2021-08-25 11:31:53.176;acme.testing.administrator.configuration.AdministratorConfigurationUpdateTest;updatenegative;6138;[11] recordIndex=0, spam=sex, threshold=-0.1;OK
